song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,2019-04-13,65,0,65,1,1
Hot Now,YoungBoy Never Broke Again,2019-10-26,66,0,66,1,1
Fire,KIDS SEE GHOSTS,2018-06-23,67,0,67,1,1
Good Guy,Eminem Featuring Jessie Reyez,2018-09-15,67,0,67,1,1
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2018-12-15,67,0,67,1,1
Floating,ScHoolboy Q Featuring 21 Savage,2019-05-11,67,0,67,1,1
Igor's Theme,"Tyler, The Creator",2019-06-01,67,0,67,1,1
Modern Slavery,Huncho Jack,2018-01-06,68,0,68,1,1
Dreams Money Can Buy,Drake,2019-08-17,68,0,68,1,1
No Idea,Don Toliver,2019-12-14,68,0,68,1,1
Follow God,Kanye West,2019-11-16,37,7,7,2,1
Esskeetit,Lil Pump,2018-05-05,37,24,24,2,1
Girls Need Love,Summer Walker X Drake,2019-03-16,37,87,37,2,1
Emotionless,Drake,2018-07-21,38,8,8,2,1
Hear Me Calling,Juice WRLD,2019-03-23,38,56,38,2,1
Hot,Young Thug Featuring Gunna,2019-09-07,39,26,26,2,1
Here Comes Santa Claus (Down Santa Claus Lane),Gene Autry,2018-12-22,40,0,40,1,1
NC-17,Travis Scott,2018-08-18,41,0,41,1,1
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,2018-12-15,41,0,41,1,1
Empty,Juice WRLD,2019-03-23,41,0,41,1,1
Kill This Love,BLACKPINK,2019-04-20,41,0,41,1,1
Finesse,Drake,2018-07-14,42,0,42,1,1
It's Beginning To Look A Lot Like Christmas,Perry Como & The Fontane Sisters,2018-12-29,42,0,42,1,1
Love Lies,Khalid & Normani,2018-03-03,43,0,43,1,1
Everyday,Logic & Marshmello,2018-03-17,43,0,43,1,1
Hurt You,The Weeknd Featuring Gesaffelstein,2018-04-14,43,0,43,1,1
My Strange Addiction,Billie Eilish,2019-04-13,43,0,43,1,1
Just Us,DJ Khaled Featuring SZA,2019-06-01,43,0,43,1,1
iPHONE,DaBaby & Nicki Minaj,2019-10-12,43,0,43,1,1
Lonely Child,YoungBoy Never Broke Again,2019-10-26,44,0,44,1,1
Medicine,Queen Naija,2018-04-14,45,0,45,1,1
