,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
3861,Pop Out,Polo G Featuring Lil Tjay,2019-07-13,20,19,11,15,1,Pop OutPolo G Featuring Lil Tjay,https://www.billboard.com/charts/hot-100/2019-07-13
3862,Sweet But Psycho,Ava Max,2019-04-06,20,20,20,15,1,Sweet But PsychoAva Max,https://www.billboard.com/charts/hot-100/2019-04-06
3863,A Lot,21 Savage,2019-04-13,22,22,12,15,1,A Lot21 Savage,https://www.billboard.com/charts/hot-100/2019-04-13
3864,Shallow,Lady Gaga & Bradley Cooper,2019-01-19,23,29,5,15,1,ShallowLady Gaga & Bradley Cooper,https://www.billboard.com/charts/hot-100/2019-01-19
3865,Beer Never Broke My Heart,Luke Combs,2019-08-24,23,21,21,15,1,Beer Never Broke My HeartLuke Combs,https://www.billboard.com/charts/hot-100/2019-08-24
3866,Back To You,Selena Gomez,2018-09-01,23,25,22,15,1,Back To YouSelena Gomez,https://www.billboard.com/charts/hot-100/2018-09-01
3867,Rumor,Lee Brice,2019-06-29,25,36,25,15,1,RumorLee Brice,https://www.billboard.com/charts/hot-100/2019-06-29
3868,Plug Walk,Rich The Kid,2018-06-02,26,22,13,15,1,Plug WalkRich The Kid,https://www.billboard.com/charts/hot-100/2018-06-02
3869,Act Up,City Girls,2019-06-22,26,28,26,15,1,Act UpCity Girls,https://www.billboard.com/charts/hot-100/2019-06-22
3870,One Kiss,Calvin Harris & Dua Lipa,2018-07-28,26,29,26,15,1,One KissCalvin Harris & Dua Lipa,https://www.billboard.com/charts/hot-100/2018-07-28
3871,Delicate,Taylor Swift,2018-06-30,27,25,25,15,1,DelicateTaylor Swift,https://www.billboard.com/charts/hot-100/2018-06-30
3872,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-20,29,31,29,15,1,Plain JaneA$AP Ferg Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2018-01-20
3873,One Man Band,Old Dominion,2019-12-14,30,22,20,15,1,One Man BandOld Dominion,https://www.billboard.com/charts/hot-100/2019-12-14
3874,Broken,lovelytheband,2018-11-03,30,33,30,15,1,Brokenlovelytheband,https://www.billboard.com/charts/hot-100/2018-11-03
3875,All The Stars,Kendrick Lamar & SZA,2018-04-28,31,25,7,15,1,All The StarsKendrick Lamar & SZA,https://www.billboard.com/charts/hot-100/2018-04-28
3876,Ballin',Mustard Featuring Roddy Ricch,2019-11-09,31,27,27,15,1,Ballin'Mustard Featuring Roddy Ricch,https://www.billboard.com/charts/hot-100/2019-11-09
3877,All To Myself,Dan + Shay,2019-08-24,31,33,31,15,1,All To MyselfDan + Shay,https://www.billboard.com/charts/hot-100/2019-08-24
3878,Beautiful,Bazzi Featuring Camila Cabello,2018-11-24,32,32,31,15,1,BeautifulBazzi Featuring Camila Cabello,https://www.billboard.com/charts/hot-100/2018-11-24
3879,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-03-09,33,37,28,15,1,Close To MeEllie Goulding X Diplo Featuring Swae Lee,https://www.billboard.com/charts/hot-100/2019-03-09
3880,She Got The Best Of Me,Luke Combs,2018-12-01,34,35,34,15,1,She Got The Best Of MeLuke Combs,https://www.billboard.com/charts/hot-100/2018-12-01
3881,Please Me,Cardi B & Bruno Mars,2019-06-08,35,33,3,15,1,Please MeCardi B & Bruno Mars,https://www.billboard.com/charts/hot-100/2019-06-08
3882,Be Careful,Cardi B,2018-07-21,36,48,11,15,1,Be CarefulCardi B,https://www.billboard.com/charts/hot-100/2018-07-21
3883,Speechless,Dan + Shay,2018-12-29,36,34,33,15,1,SpeechlessDan + Shay,https://www.billboard.com/charts/hot-100/2018-12-29
3884,Shotta Flow,NLE Choppa,2019-08-10,36,36,36,15,1,Shotta FlowNLE Choppa,https://www.billboard.com/charts/hot-100/2019-08-10
3885,Baby,Lil Baby & DaBaby,2019-11-09,38,30,21,15,1,BabyLil Baby & DaBaby,https://www.billboard.com/charts/hot-100/2019-11-09
3886,Simple,Florida Georgia Line,2018-09-22,38,40,32,15,1,SimpleFlorida Georgia Line,https://www.billboard.com/charts/hot-100/2018-09-22
3887,One Thing Right,Marshmello & Kane Brown,2019-10-12,38,47,38,15,1,One Thing RightMarshmello & Kane Brown,https://www.billboard.com/charts/hot-100/2019-10-12
3888,Plug Walk,Rich The Kid,2018-06-23,33,35,13,18,1,Plug WalkRich The Kid,https://www.billboard.com/charts/hot-100/2018-06-23
3889,Beer Never Broke My Heart,Luke Combs,2019-09-14,33,27,21,18,1,Beer Never Broke My HeartLuke Combs,https://www.billboard.com/charts/hot-100/2019-09-14
3890,Baby,Lil Baby & DaBaby,2019-11-30,34,34,21,18,1,BabyLil Baby & DaBaby,https://www.billboard.com/charts/hot-100/2019-11-30
3891,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-02-10,34,27,27,18,1,Plain JaneA$AP Ferg Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2018-02-10
3892,All The Stars,Kendrick Lamar & SZA,2018-05-19,35,49,7,18,1,All The StarsKendrick Lamar & SZA,https://www.billboard.com/charts/hot-100/2018-05-19
3893,Rumor,Lee Brice,2019-07-20,35,32,25,18,1,RumorLee Brice,https://www.billboard.com/charts/hot-100/2019-07-20
3894,One Thing Right,Marshmello & Kane Brown,2019-11-02,36,38,36,18,1,One Thing RightMarshmello & Kane Brown,https://www.billboard.com/charts/hot-100/2019-11-02
3895,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-06-22,37,31,2,18,1,"Break Up With Your Girlfriend, I'm BoredAriana Grande",https://www.billboard.com/charts/hot-100/2019-06-22
3896,Beautiful,Bazzi Featuring Camila Cabello,2018-12-15,37,30,30,18,1,BeautifulBazzi Featuring Camila Cabello,https://www.billboard.com/charts/hot-100/2018-12-15
3897,Stir Fry,Migos,2018-05-05,39,23,8,18,1,Stir FryMigos,https://www.billboard.com/charts/hot-100/2018-05-05
3898,One Kiss,Calvin Harris & Dua Lipa,2018-08-18,40,30,26,18,1,One KissCalvin Harris & Dua Lipa,https://www.billboard.com/charts/hot-100/2018-08-18
3899,Be Careful,Cardi B,2018-08-11,43,46,11,18,1,Be CarefulCardi B,https://www.billboard.com/charts/hot-100/2018-08-11
3900,Pray For Me,The Weeknd & Kendrick Lamar,2018-06-16,44,29,7,18,1,Pray For MeThe Weeknd & Kendrick Lamar,https://www.billboard.com/charts/hot-100/2018-06-16
3901,Shotta Flow,NLE Choppa,2019-08-31,45,40,36,18,1,Shotta FlowNLE Choppa,https://www.billboard.com/charts/hot-100/2019-08-31
3902,Sit Next To Me,Foster The People,2018-07-28,46,42,42,18,1,Sit Next To MeFoster The People,https://www.billboard.com/charts/hot-100/2018-07-28
3903,All To Myself,Dan + Shay,2019-09-14,47,48,31,18,1,All To MyselfDan + Shay,https://www.billboard.com/charts/hot-100/2019-09-14
3904,She Got The Best Of Me,Luke Combs,2018-12-22,47,49,34,18,1,She Got The Best Of MeLuke Combs,https://www.billboard.com/charts/hot-100/2018-12-22
3905,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-09-01,47,49,36,18,1,"Te BoteCasper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",https://www.billboard.com/charts/hot-100/2018-09-01
3906,Best Shot,Jimmie Allen,2019-01-26,48,39,37,18,1,Best ShotJimmie Allen,https://www.billboard.com/charts/hot-100/2019-01-26
3907,One Number Away,Luke Combs,2018-07-28,49,49,34,18,1,One Number AwayLuke Combs,https://www.billboard.com/charts/hot-100/2018-07-28
3908,Bury A Friend,Billie Eilish,2019-06-08,51,55,14,18,1,Bury A FriendBillie Eilish,https://www.billboard.com/charts/hot-100/2019-06-08
3909,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-27,51,53,46,18,1,"Pills And AutomobilesChris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",https://www.billboard.com/charts/hot-100/2018-01-27
3910,Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-01-06,51,51,51,18,1,Roll In PeaceKodak Black Featuring XXXTENTACION,https://www.billboard.com/charts/hot-100/2018-01-06
3911,Simple,Florida Georgia Line,2018-10-13,53,42,32,18,1,SimpleFlorida Georgia Line,https://www.billboard.com/charts/hot-100/2018-10-13
3912,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-05-04,54,48,38,18,1,SwervinA Boogie Wit da Hoodie Featuring 6ix9ine,https://www.billboard.com/charts/hot-100/2019-05-04
3913,Baby Shark,Pinkfong,2019-05-11,55,47,32,18,1,Baby SharkPinkfong,https://www.billboard.com/charts/hot-100/2019-05-11
3914,Please Me,Cardi B & Bruno Mars,2019-06-29,57,51,3,18,1,Please MeCardi B & Bruno Mars,https://www.billboard.com/charts/hot-100/2019-06-29
3915,Bartier Cardi,Cardi B Featuring 21 Savage,2018-05-05,60,40,14,18,1,Bartier CardiCardi B Featuring 21 Savage,https://www.billboard.com/charts/hot-100/2018-05-05
3916,Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-11-02,60,59,36,18,1,Cash ShitMegan Thee Stallion Featuring DaBaby,https://www.billboard.com/charts/hot-100/2019-11-02
3917,Put A Date On It,Yo Gotti Featuring Lil Baby,2019-06-08,66,64,46,18,1,Put A Date On ItYo Gotti Featuring Lil Baby,https://www.billboard.com/charts/hot-100/2019-06-08
3918,That's On Me,Yella Beezy,2018-12-08,67,56,56,18,1,That's On MeYella Beezy,https://www.billboard.com/charts/hot-100/2018-12-08
3919,Candy Paint,Post Malone,2018-03-10,71,84,50,18,1,Candy PaintPost Malone,https://www.billboard.com/charts/hot-100/2018-03-10
3920,Pick It Up,Famous Dex Featuring A$AP Rocky,2018-03-31,71,70,54,18,1,Pick It UpFamous Dex Featuring A$AP Rocky,https://www.billboard.com/charts/hot-100/2018-03-31
3921,Talk You Out Of It,Florida Georgia Line,2019-06-29,73,78,73,18,1,Talk You Out Of ItFlorida Georgia Line,https://www.billboard.com/charts/hot-100/2019-06-29
3922,All Girls Are The Same,Juice WRLD,2018-09-22,74,75,41,18,1,All Girls Are The SameJuice WRLD,https://www.billboard.com/charts/hot-100/2018-09-22
3923,Prayed For You,Matt Stell,2019-12-14,75,69,36,18,1,Prayed For YouMatt Stell,https://www.billboard.com/charts/hot-100/2019-12-14
3924,Betrayed,Lil Xan,2018-03-31,76,79,64,18,1,BetrayedLil Xan,https://www.billboard.com/charts/hot-100/2018-03-31
3925,Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-10-19,78,78,34,18,1,"Otro TragoSech, Darell, Nicky Jam, Ozuna & Anuel AA",https://www.billboard.com/charts/hot-100/2019-10-19
3926,...Ready For It?,Taylor Swift,2018-01-20,80,58,4,18,1,...Ready For It?Taylor Swift,https://www.billboard.com/charts/hot-100/2018-01-20
3927,Outside Today,YoungBoy Never Broke Again,2018-05-26,80,78,31,18,1,Outside TodayYoungBoy Never Broke Again,https://www.billboard.com/charts/hot-100/2018-05-26
3928,Best Part,Daniel Caesar Featuring H.E.R.,2018-12-01,83,84,75,18,1,Best PartDaniel Caesar Featuring H.E.R.,https://www.billboard.com/charts/hot-100/2018-12-01
3929,Baby Sitter,DaBaby Featuring Offset,2019-12-21,84,78,59,18,1,Baby SitterDaBaby Featuring Offset,https://www.billboard.com/charts/hot-100/2019-12-21
3930,Callaita,Bad Bunny & Tainy,2019-10-19,87,82,52,18,1,CallaitaBad Bunny & Tainy,https://www.billboard.com/charts/hot-100/2019-10-19
3931,Round Here Buzz,Eric Church,2018-02-10,89,80,56,18,1,Round Here BuzzEric Church,https://www.billboard.com/charts/hot-100/2018-02-10
3932,Call Out My Name,The Weeknd,2018-08-11,95,89,4,18,1,Call Out My NameThe Weeknd,https://www.billboard.com/charts/hot-100/2018-08-11
3933,Singles You Up,Jordan Davis,2018-06-16,95,91,50,18,1,Singles You UpJordan Davis,https://www.billboard.com/charts/hot-100/2018-06-16
3934,Robbery,Juice WRLD,2019-06-29,98,96,27,18,1,RobberyJuice WRLD,https://www.billboard.com/charts/hot-100/2019-06-29
3935,Rearview Town,Jason Aldean,2019-10-05,99,92,40,18,1,Rearview TownJason Aldean,https://www.billboard.com/charts/hot-100/2019-10-05
3936,Red Roses,Lil Skies Featuring Landon Cube,2018-05-19,99,100,69,18,1,Red RosesLil Skies Featuring Landon Cube,https://www.billboard.com/charts/hot-100/2018-05-19
3937,Bad Guy,Billie Eilish,2019-08-17,2,2,2,19,1,Bad GuyBillie Eilish,https://www.billboard.com/charts/hot-100/2019-08-17
3938,Sicko Mode,Travis Scott,2018-12-22,3,2,1,19,1,Sicko ModeTravis Scott,https://www.billboard.com/charts/hot-100/2018-12-22
3939,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-03-09,4,3,1,19,1,Sunflower (Spider-Man: Into The Spider-Verse)Post Malone & Swae Lee,https://www.billboard.com/charts/hot-100/2019-03-09
3940,Senorita,Shawn Mendes & Camila Cabello,2019-11-09,4,3,1,19,1,SenoritaShawn Mendes & Camila Cabello,https://www.billboard.com/charts/hot-100/2019-11-09
3941,Talk,Khalid,2019-06-29,4,3,3,19,1,TalkKhalid,https://www.billboard.com/charts/hot-100/2019-06-29
3942,Someone You Loved,Lewis Capaldi,2019-09-28,4,9,4,19,1,Someone You LovedLewis Capaldi,https://www.billboard.com/charts/hot-100/2019-09-28
3943,Rockstar,Post Malone Featuring 21 Savage,2018-02-10,5,4,1,19,1,RockstarPost Malone Featuring 21 Savage,https://www.billboard.com/charts/hot-100/2018-02-10
3944,Better Now,Post Malone,2018-09-15,5,4,4,19,1,Better NowPost Malone,https://www.billboard.com/charts/hot-100/2018-09-15
3945,Bad At Love,Halsey,2018-01-27,5,7,5,19,1,Bad At LoveHalsey,https://www.billboard.com/charts/hot-100/2018-01-27
3946,Sucker,Jonas Brothers,2019-07-20,8,7,1,19,1,SuckerJonas Brothers,https://www.billboard.com/charts/hot-100/2019-07-20
3947,Ran$om,Lil Tecca,2019-10-19,8,4,4,19,1,Ran$omLil Tecca,https://www.billboard.com/charts/hot-100/2019-10-19
3948,Dancing With A Stranger,Sam Smith & Normani,2019-06-01,8,7,7,19,1,Dancing With A StrangerSam Smith & Normani,https://www.billboard.com/charts/hot-100/2019-06-01
3949,Panini,Lil Nas X,2019-11-09,9,6,5,19,1,PaniniLil Nas X,https://www.billboard.com/charts/hot-100/2019-11-09
3950,Sad!,XXXTENTACION,2018-07-21,10,10,1,19,1,Sad!XXXTENTACION,https://www.billboard.com/charts/hot-100/2018-07-21
3951,Boo'd Up,Ella Mai,2018-08-18,10,8,5,19,1,Boo'd UpElla Mai,https://www.billboard.com/charts/hot-100/2018-08-18
3952,Sweet But Psycho,Ava Max,2019-05-04,11,13,11,19,1,Sweet But PsychoAva Max,https://www.billboard.com/charts/hot-100/2019-05-04
3953,Psycho,Post Malone Featuring Ty Dolla $ign,2018-07-14,12,5,1,19,1,PsychoPost Malone Featuring Ty Dolla $ign,https://www.billboard.com/charts/hot-100/2018-07-14
3954,Delicate,Taylor Swift,2018-07-28,12,15,12,19,1,DelicateTaylor Swift,https://www.billboard.com/charts/hot-100/2018-07-28
3955,7 Rings,Ariana Grande,2019-06-08,14,12,1,19,1,7 RingsAriana Grande,https://www.billboard.com/charts/hot-100/2019-06-08
3956,Suge,DaBaby,2019-08-17,15,14,7,19,1,SugeDaBaby,https://www.billboard.com/charts/hot-100/2019-08-17
3957,Taste,Tyga Featuring Offset,2018-10-13,15,11,8,19,1,TasteTyga Featuring Offset,https://www.billboard.com/charts/hot-100/2018-10-13
3958,Beautiful People,Ed Sheeran Featuring Khalid,2019-11-16,15,15,13,19,1,Beautiful PeopleEd Sheeran Featuring Khalid,https://www.billboard.com/charts/hot-100/2019-11-16
3959,Ric Flair Drip,Offset & Metro Boomin,2018-03-24,15,16,15,19,1,Ric Flair DripOffset & Metro Boomin,https://www.billboard.com/charts/hot-100/2018-03-24
3960,"Thank U, Next",Ariana Grande,2019-03-23,16,11,1,19,1,"Thank U, NextAriana Grande",https://www.billboard.com/charts/hot-100/2019-03-23
3961,Ballin',Mustard Featuring Roddy Ricch,2019-12-07,16,20,16,19,1,Ballin'Mustard Featuring Roddy Ricch,https://www.billboard.com/charts/hot-100/2019-12-07
3962,Back To You,Selena Gomez,2018-09-29,18,19,18,19,1,Back To YouSelena Gomez,https://www.billboard.com/charts/hot-100/2018-09-29
3963,Breathin,Ariana Grande,2019-01-05,22,19,12,19,1,BreathinAriana Grande,https://www.billboard.com/charts/hot-100/2019-01-05
3964,A Lot,21 Savage,2019-05-11,22,24,12,19,1,A Lot21 Savage,https://www.billboard.com/charts/hot-100/2019-05-11
3965,Better,Khalid,2019-02-02,23,22,22,19,1,BetterKhalid,https://www.billboard.com/charts/hot-100/2019-02-02
3966,Shallow,Lady Gaga & Bradley Cooper,2019-02-16,24,16,5,19,1,ShallowLady Gaga & Bradley Cooper,https://www.billboard.com/charts/hot-100/2019-02-16
3967,Speechless,Dan + Shay,2019-01-26,25,25,24,19,1,SpeechlessDan + Shay,https://www.billboard.com/charts/hot-100/2019-01-26
3968,Be Alright,Dean Lewis,2019-03-16,26,29,26,19,1,Be AlrightDean Lewis,https://www.billboard.com/charts/hot-100/2019-03-16
3969,Pop Out,Polo G Featuring Lil Tjay,2019-08-10,27,26,11,19,1,Pop OutPolo G Featuring Lil Tjay,https://www.billboard.com/charts/hot-100/2019-08-10
3970,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-04-06,27,28,27,19,1,Close To MeEllie Goulding X Diplo Featuring Swae Lee,https://www.billboard.com/charts/hot-100/2019-04-06
3971,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019-02-16,29,24,11,19,1,"Taki TakiDJ Snake Featuring Selena Gomez, Ozuna & Cardi B",https://www.billboard.com/charts/hot-100/2019-02-16
3972,Act Up,City Girls,2019-07-20,30,30,26,19,1,Act UpCity Girls,https://www.billboard.com/charts/hot-100/2019-07-20
3973,Plug Walk,Rich The Kid,2018-06-30,32,33,13,19,1,Plug WalkRich The Kid,https://www.billboard.com/charts/hot-100/2018-06-30
3974,One Kiss,Calvin Harris & Dua Lipa,2018-08-25,32,40,26,19,1,One KissCalvin Harris & Dua Lipa,https://www.billboard.com/charts/hot-100/2018-08-25
3975,All The Stars,Kendrick Lamar & SZA,2018-05-26,33,35,7,19,1,All The StarsKendrick Lamar & SZA,https://www.billboard.com/charts/hot-100/2018-05-26
3976,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-02-17,33,34,27,19,1,Plain JaneA$AP Ferg Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2018-02-17
3977,Broken,lovelytheband,2018-12-01,35,31,29,19,1,Brokenlovelytheband,https://www.billboard.com/charts/hot-100/2018-12-01
3978,Beautiful,Bazzi Featuring Camila Cabello,2018-12-22,36,37,30,19,1,BeautifulBazzi Featuring Camila Cabello,https://www.billboard.com/charts/hot-100/2018-12-22
3979,Baby,Lil Baby & DaBaby,2019-12-07,39,34,21,19,1,BabyLil Baby & DaBaby,https://www.billboard.com/charts/hot-100/2019-12-07
3980,Rumor,Lee Brice,2019-07-27,39,35,25,19,1,RumorLee Brice,https://www.billboard.com/charts/hot-100/2019-07-27
3981,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-06-29,41,37,2,19,1,"Break Up With Your Girlfriend, I'm BoredAriana Grande",https://www.billboard.com/charts/hot-100/2019-06-29
3982,Pray For Me,The Weeknd & Kendrick Lamar,2018-06-23,44,44,7,19,1,Pray For MeThe Weeknd & Kendrick Lamar,https://www.billboard.com/charts/hot-100/2018-06-23
3983,Beer Never Broke My Heart,Luke Combs,2019-09-21,44,33,21,19,1,Beer Never Broke My HeartLuke Combs,https://www.billboard.com/charts/hot-100/2019-09-21
3984,Silence,Marshmello Featuring Khalid,2018-01-06,44,39,30,19,1,SilenceMarshmello Featuring Khalid,https://www.billboard.com/charts/hot-100/2018-01-06
3985,Sit Next To Me,Foster The People,2018-08-04,44,46,42,19,1,Sit Next To MeFoster The People,https://www.billboard.com/charts/hot-100/2018-08-04
3986,One Thing Right,Marshmello & Kane Brown,2019-11-09,47,36,36,19,1,One Thing RightMarshmello & Kane Brown,https://www.billboard.com/charts/hot-100/2019-11-09
3987,Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-01-13,47,51,47,19,1,Roll In PeaceKodak Black Featuring XXXTENTACION,https://www.billboard.com/charts/hot-100/2018-01-13
3988,Simple,Florida Georgia Line,2018-10-20,48,53,32,19,1,SimpleFlorida Georgia Line,https://www.billboard.com/charts/hot-100/2018-10-20
3989,One Number Away,Luke Combs,2018-08-04,48,49,34,19,1,One Number AwayLuke Combs,https://www.billboard.com/charts/hot-100/2018-08-04
3990,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-09-08,49,47,36,19,1,"Te BoteCasper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",https://www.billboard.com/charts/hot-100/2018-09-08
3991,Shotta Flow,NLE Choppa,2019-09-07,50,45,36,19,1,Shotta FlowNLE Choppa,https://www.billboard.com/charts/hot-100/2019-09-07
3992,She Got The Best Of Me,Luke Combs,2018-12-29,51,47,34,19,1,She Got The Best Of MeLuke Combs,https://www.billboard.com/charts/hot-100/2018-12-29
3993,Stir Fry,Migos,2018-05-12,53,39,8,19,1,Stir FryMigos,https://www.billboard.com/charts/hot-100/2018-05-12
3994,Bury A Friend,Billie Eilish,2019-06-15,53,51,14,19,1,Bury A FriendBillie Eilish,https://www.billboard.com/charts/hot-100/2019-06-15
3995,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-02-03,53,51,46,19,1,"Pills And AutomobilesChris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",https://www.billboard.com/charts/hot-100/2018-02-03
3996,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-05-11,58,54,38,19,1,SwervinA Boogie Wit da Hoodie Featuring 6ix9ine,https://www.billboard.com/charts/hot-100/2019-05-11
3997,Best Shot,Jimmie Allen,2019-02-02,60,48,37,19,1,Best ShotJimmie Allen,https://www.billboard.com/charts/hot-100/2019-02-02
3998,Be Careful,Cardi B,2018-08-18,61,43,11,19,1,Be CarefulCardi B,https://www.billboard.com/charts/hot-100/2018-08-18
3999,Baby Shark,Pinkfong,2019-05-18,62,55,32,19,1,Baby SharkPinkfong,https://www.billboard.com/charts/hot-100/2019-05-18
4000,Please Me,Cardi B & Bruno Mars,2019-07-06,65,57,3,19,1,Please MeCardi B & Bruno Mars,https://www.billboard.com/charts/hot-100/2019-07-06
4001,All To Myself,Dan + Shay,2019-09-21,67,47,31,19,1,All To MyselfDan + Shay,https://www.billboard.com/charts/hot-100/2019-09-21
